Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
105;20,263;13,445;21,06;100;;;;94,445;33,33;100;;;;100;;94,44333333;;72,22;98,89214286;53,9;97,3;0,566;0,366;"3,49  
";0,5106;;;;
106;;;;100;;;;100;;;;;;;;100;;100;97,25071429;50,8;98,6;0,583;0,356;0,0356;0,4282;;;;
107;20,216;14,34333333;13,71181818;62,14285714;;;;73,4725;41,665;33,33;;;;88,89;;100;;74,39363636;99,34071429;51,3;94,4;0,583;0,297;0,0376;0,5625;;;;
108;;;;100;;;;100;;;;;;;;100;;;96,70461538;54;96,4;0,542;0,405;0,0339;0,5019;;;;
109;51,82583333;17,892;40,826;54,165;50;;;62,667;34,44333333;100;;;;100;;67,14285714;;28,88666667;99,77714286;48;96,7;0,642;0,751;"3,40  
";0,5824;;;;
110;30,198;2,926666667;17,79466667;23,46571429;12,7;11,11;;67,76333333;14,815;75;;;;83,33333333;;47,56466667;34,225;48,04142857;90,99;47,5;96,5;0,585;0,083;0,0365;0,5411;;;;
111;14,42444444;9,073333333;10,2975;50;;;;75;50;;;;;100;;100;;100;86,92538462;54,9;95,8;0,543;0,132;0,0367;0,5345;;;;
112;26,96363636;14,12;25,05375;50;;;65,55666667;72,96222222;;;;;100;;;83,33333333;;82,38;99,59928571;54,6;97,8;0,529;0,232;0,0372;0,5192;;;;
113;25,77266667;8,028333333;15,23533333;36,48111111;25;27,145;;75,40785714;;37,5;;100;;85;;64,61461538;66,66666667;55,99583333;99,72642857;52,8;98,7;0,548;0,016;0,0334;0,4766;;;;
114;76,666;;;;88,88833333;61,11;;;;;;;;;;86,11;;70,8325;99,62142857;50,3;97,3;0,608;0,165;0,0352;0,5174;;;;
115;18,50076923;8,215;15,25727273;58,3325;45,835;;;75;37,5;;;;;100;;85;100;48,61;99,60714286;47,3;98,5;0,567;0,301;"3,42  
";0,4654;;;;
116;;;;75;100;;100;71,42857143;66,66666667;;;;;;;75;;76,18857143;96,51785714;51,7;98;0,536;0,041;0,0376;0,501;;;;
117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;56,8725;39;64,21333333;100;;100;;100;;100;;;;;;100;;100;99,66357143;47,5;94,4;0,565;0,553;0,0375;0,4691;;;;
119;31,26;16,83;23,11;100,00;100,00;;;91,67;50,00;;;;;;;100,00;;87,50;99,58;54,8;98,4;0,572;21,00%;3,54%;0,5226;;;;
120;17,14923077;7,67;13,62444444;72,5;;;;77,5;;100;;;;100;;90,47571429;100;64,16666667;99,72642857;54,3;98,6;0,574;0,058;"3,45  
";0,504;;;;
121;32,69;18,68;25,215;75;;;;62,5;50;;;;;;;100;;70;99,46857143;48,6;97;0,59;0,366;0,0344;0,4751;;;;
